cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,100,14,0.9779178655449613,0.8337229770035485,-0.14419488854141282,Hippocampus
1,103,12,-3.0635785829964166,-3.2994863439325814,-0.23590776093616483,Hippocampus
1,106,15,3.0503744275858766,2.747167806023139,-0.3032066215627376,Hippocampus
1,107,14,4.364056257457721,5.644395370587942,1.2803391131302213,Hippocampus
1,109,13,1.5889262884913715,2.7503912935282995,1.161465005036928,Hippocampus
1,115,15,2.2817752354177334,1.9095581261258447,-0.37221710929188867,Hippocampus
1,117,15,3.3464386009662577,4.119560120522125,0.7731215195558669,Hippocampus
1,121,15,0.5976734492789586,0.5181914021545756,-0.079482047124383,Hippocampus
1,122,14,5.363895976047712,5.869990069267635,0.5060940932199225,Hippocampus
1,124,15,-3.9611987474095427,-3.989312807824337,-0.028114060414794473,Hippocampus
1,125,13,-1.1401775841014499,-1.5019323830677478,-0.3617547989662979,Hippocampus
1,126,13,5.18727855597321,5.111130595708193,-0.07614796026501658,Hippocampus
1,127,14,0.24626604714997677,0.8350243144603372,0.5887582673103604,Hippocampus
1,128,14,1.3308410139643918,1.9588616377083223,0.6280206237439305,Hippocampus
1,129,15,1.8055268566347784,2.5423558070449728,0.7368289504101944,Hippocampus
1,130,15,-4.084287730251792,-4.052244156935044,0.032043573316748564,Hippocampus
1,137,10,-2.7103970988066406,-2.7934727534403994,-0.08307565463375877,Hippocampus
1,138,14,-0.6882744862307045,-0.8761297491331964,-0.18785526290249188,Hippocampus
1,139,15,-0.25763754758010254,-1.193484015449262,-0.9358464678691596,Hippocampus
1,148,13,1.3088786778409345,0.641639464162718,-0.6672392136782165,Hippocampus
1,150,15,1.025767919360391,1.2569914963494988,0.23122357698910778,Hippocampus
1,155,13,2.102344120300842,2.5502815518082365,0.4479374315073943,Hippocampus
1,157,14,0.8497494787335507,1.801609640057459,0.9518601613239084,Hippocampus
1,159,15,-1.7578939266717466,-1.954262256127059,-0.19636832945531246,Hippocampus
1,160,15,7.701431415833947,9.143541590543013,1.4421101747090654,Hippocampus
1,163,15,1.3599308260653158,0.7298855170490917,-0.6300453090162241,Hippocampus
1,164,15,6.279684844469795,5.641812576607984,-0.6378722678618107,Hippocampus
1,167,15,-0.619362103195825,-0.377298936783943,0.24206316641188197,Hippocampus
1,175,15,0.1488110304720417,1.4190814368147,1.2702704063426582,Hippocampus
1,176,15,-4.96704901977036,-5.162862749813132,-0.19581373004277225,Hippocampus
1,178,13,-0.701585733013668,-0.8708484537807317,-0.16926272076706372,Hippocampus
1,179,15,-0.7173282619637418,-0.8092369178294163,-0.09190865586567454,Hippocampus
1,182,15,-3.0254307067249195,-1.3545903641350046,1.670840342589915,Hippocampus
1,183,13,-1.149714734465038,-2.3356324731621383,-1.1859177386971003,Hippocampus
1,184,15,4.210636527421929,5.166234458232207,0.9555979308102778,Hippocampus
1,186,14,6.307467858438348,4.039409975866571,-2.268057882571777,Hippocampus
1,187,14,1.1489286362927784,1.6468271492929452,0.49789851300016674,Hippocampus
1,188,14,5.617212575247803,6.198976718852874,0.5817641436050716,Hippocampus
1,189,15,-0.01325756760573333,-0.5124717329146274,-0.4992141653088941,Hippocampus
1,190,14,4.697716647697434,3.8325305245718395,-0.8651861231255946,Hippocampus
1,191,15,-6.882369735414675,-5.860215042888071,1.0221546925266036,Hippocampus
1,192,15,-1.3856952352011591,-1.8699677422713605,-0.4842725070702014,Hippocampus
1,194,14,-0.526679867478005,0.18305537725022158,0.7097352447282266,Hippocampus
1,200,13,-2.426049707366691,-2.054917676419416,0.37113203094727476,Hippocampus
1,201,15,-5.33881743997148,-5.240714515969207,0.09810292400227372,Hippocampus
1,204,13,-2.1549136401840836,-1.677059242971179,0.47785439721290457,Hippocampus
1,205,15,-0.7492502424311163,-1.4380226779152465,-0.6887724354841303,Hippocampus
1,208,14,3.7993556207858257,2.7384415494960646,-1.0609140712897611,Hippocampus
1,209,15,-2.997478146545014,-2.397449992240754,0.60002815430426,Hippocampus
