roi,feature_base,feature_name,n,mean_pre,mean_post,mean_delta,median_delta,sd_delta,t_stat,p_ttest,w_stat,p_wilcoxon,cohens_d_paired,rank_biserial,q_ttest_fdr,q_wilcoxon_fdr,abs_mean_delta
Left_Thalamus,Left_Thalamus_original_shape_SurfaceArea,original_shape_SurfaceArea,96,2558.2153909347307,2552.485781938011,-5.729608996719439,-2.655740997145358,43.64813641402836,-1.2861596962120754,0.20151317645351513,1961.0,0.17987757743418842,-0.13126812431052529,0.15764604810996563,0.7511187893877082,0.6809530898509771,5.729608996719439
Right_Hippocampus,Right_Hippocampus_original_firstorder_Range,original_firstorder_Range,96,161.90625,158.65625,-3.25,-3.0,28.850978274027746,-1.1037187839431906,0.2725030430660749,1982.0,0.20603917210913214,-0.11264782667441534,0.14862542955326463,0.7511187893877082,0.6809530898509771,3.25
Right_Thalamus,Right_Thalamus_original_firstorder_Range,original_firstorder_Range,96,176.95833333333334,173.76041666666666,-3.1979166666666665,-4.5,31.76678828146305,-0.9863463695316451,0.32646866180567036,1958.0,0.23193966583116987,-0.10066855479163295,0.1412280701754386,0.7511187893877082,0.6809530898509771,3.1979166666666665
Right_Thalamus,Right_Thalamus_original_firstorder_Maximum,original_firstorder_Maximum,96,208.83333333333334,205.94791666666666,-2.8854166666666665,-2.5,29.111354193552316,-0.9711397802608617,0.3339448193168435,2008.0,0.24216940881927296,-0.0991165387732371,0.13745704467353947,0.7511187893877082,0.6809530898509771,2.8854166666666665
Right_Hippocampus,Right_Hippocampus_original_firstorder_Minimum,original_firstorder_Minimum,96,32.635416666666664,31.760416666666668,-0.875,-1.0,7.836822664427479,-1.0939655606418448,0.27673615884752334,1824.5,0.28736812113979615,-0.11165239248959366,0.12828475871954137,0.7511187893877082,0.6809530898509771,0.875
Right_Thalamus,Right_Thalamus_original_firstorder_Kurtosis,original_firstorder_Kurtosis,96,15.87233777219471,15.335377002276658,-0.5369607699180509,-0.7370003489958883,5.260134975468205,-1.0001871847968318,0.31976075024239253,1974.0,0.19579462787618207,-0.1020811770842926,0.1520618556701031,0.7511187893877082,0.6809530898509771,0.5369607699180509
Right_Hippocampus,Right_Hippocampus_original_firstorder_Median,original_firstorder_Median,96,84.70833333333333,84.52083333333333,-0.1875,0.0,1.5931597204099914,-1.1531281412353376,0.2517509103121042,1168.0,0.22564678327295984,-0.11769064808627464,0.15819819819819825,0.7511187893877082,0.6809530898509771,0.1875
Right_Hippocampus,Right_Hippocampus_original_firstorder_Mean,original_firstorder_Mean,96,86.47533529004058,86.30355779724478,-0.17177749279580215,-0.3294025333639823,1.789647116224088,-0.9404473157414188,0.3493733448070484,2016.0,0.2542259081411111,-0.09598400223069077,0.134020618556701,0.7511187893877082,0.6809530898509771,0.17177749279580215
Right_Thalamus,Right_Thalamus_original_firstorder_InterquartileRange,original_firstorder_InterquartileRange,96,10.708333333333334,10.854166666666666,0.14583333333333334,0.0,1.213773295980385,1.1772124344434511,0.24205169374457383,842.0,0.23322107263066683,0.12014874096858533,0.16468253968253965,0.7511187893877082,0.6809530898509771,0.14583333333333334
Left_Hippocampus,Left_Hippocampus_original_shape_MajorAxisLength,original_shape_MajorAxisLength,96,46.97944131918384,47.061933815790155,0.08249249660631208,0.07778784996774135,0.6942053292496767,1.1642925559913897,0.24722106314294123,1984.0,0.20872361165895248,0.11883011139582159,0.147766323024055,0.7511187893877082,0.6809530898509771,0.08249249660631208
