subject_id,cohort,session,have_tp1,have_tp2,have_tp3,failed_QC,missing_demographics
I180,I,tp3,yes,yes,yes,,
I181,I,tp1,yes,no,no,,
I182,I,tp1,yes,no,yes,,
I182,I,tp3,yes,no,yes,,
I183,I,tp1,yes,no,yes,,
I183,I,tp3,yes,no,yes,,
I184,I,tp1,yes,no,yes,,
I184,I,tp3,yes,no,yes,,
I186,I,tp1,yes,yes,yes,,
I186,I,tp2,yes,yes,yes,,
I186,I,tp3,yes,yes,yes,,
I187,I,tp1,yes,yes,yes,,
I187,I,tp2,yes,yes,yes,,
I187,I,tp3,yes,yes,yes,,
I188,I,tp1,yes,no,yes,,
I188,I,tp3,yes,no,yes,,
I189,I,tp1,yes,yes,yes,,
I189,I,tp2,yes,yes,yes,,
I189,I,tp3,yes,yes,yes,,
I190,I,tp1,yes,no,yes,,
I190,I,tp3,yes,no,yes,,
I191,I,tp1,yes,yes,yes,,
I191,I,tp2,yes,yes,yes,,
I191,I,tp3,yes,yes,yes,,
I192,I,tp1,yes,no,yes,,
I192,I,tp3,yes,no,yes,,
I193,I,tp1,yes,no,no,,
I194,I,tp1,yes,no,yes,,
I194,I,tp3,yes,no,yes,,
I195,I,tp1,yes,no,no,,
I196,I,tp1,yes,no,no,yes,
I197,I,tp1,yes,no,no,,
I199,I,tp1,yes,no,no,,
I200,I,tp1,yes,yes,yes,,
I200,I,tp2,yes,yes,yes,,
I200,I,tp3,yes,yes,yes,,
I201,I,tp1,yes,yes,yes,,
I201,I,tp2,yes,yes,yes,,
I201,I,tp3,yes,yes,yes,,
I202,I,tp1,yes,no,no,,
I204,I,tp1,yes,yes,yes,,
I204,I,tp2,yes,yes,yes,,
I204,I,tp3,yes,yes,yes,,
I205,I,tp1,yes,yes,yes,,
I205,I,tp2,yes,yes,yes,,
I205,I,tp3,yes,yes,yes,,
I206,I,tp1,yes,no,yes,yes,
I206,I,tp3,yes,no,yes,,
I208,I,tp1,yes,yes,yes,,
I208,I,tp2,yes,yes,yes,,
I208,I,tp3,yes,yes,yes,,
I209,I,tp1,yes,yes,yes,,
I209,I,tp2,yes,yes,yes,,
I209,I,tp3,yes,yes,yes,,
I210,I,tp1,yes,no,yes,,
I210,I,tp3,yes,no,yes,,
I211,I,tp1,yes,no,yes,,
I211,I,tp3,yes,no,yes,,
I213,I,tp1,yes,yes,yes,,
I213,I,tp2,yes,yes,yes,,
I213,I,tp3,yes,yes,yes,,
I214,I,tp3,no,no,yes,,
I215,I,tp1,yes,no,yes,,
I215,I,tp3,yes,no,yes,,
I216,I,tp1,yes,no,yes,,
I216,I,tp3,yes,no,yes,,
I218,I,tp1,yes,no,no,,
I219,I,tp1,yes,no,no,,
I221,I,tp1,yes,no,yes,,
I221,I,tp3,yes,no,yes,,
I222,I,tp1,yes,no,no,,Yes
I223,I,tp1,yes,no,yes,,
I223,I,tp3,yes,no,yes,,
I224,I,tp1,yes,no,no,,
I225,I,tp1,yes,no,yes,,
I225,I,tp3,yes,no,yes,,
I226,I,tp1,yes,no,no,,
I227,I,tp1,yes,no,yes,,
I227,I,tp3,yes,no,yes,,
I228,I,tp1,yes,no,no,,
I229,I,tp1,yes,no,yes,,
I229,I,tp3,yes,no,yes,,
I230,I,tp1,yes,no,no,,Yes
I231,I,tp1,yes,no,no,,
I234,I,tp1,yes,yes,yes,,
I234,I,tp2,yes,yes,yes,,
I234,I,tp3,yes,yes,yes,,
I235,I,tp1,yes,no,yes,,
I235,I,tp3,yes,no,yes,,
I236,I,tp1,yes,no,yes,,
I236,I,tp3,yes,no,yes,,
I237,I,tp1,yes,no,yes,,
I237,I,tp3,yes,no,yes,,
I238,I,tp1,yes,no,yes,,
I238,I,tp3,yes,no,yes,,
I239,I,tp1,yes,no,yes,,
I239,I,tp3,yes,no,yes,,
I240,I,tp1,yes,no,no,,
I241,I,tp1,yes,no,yes,,
I241,I,tp3,yes,no,yes,,
I243,I,tp1,yes,no,yes,,
I243,I,tp3,yes,no,yes,,
I244,I,tp1,yes,no,yes,,
I244,I,tp3,yes,no,yes,,
I245,I,tp1,yes,no,no,,
I246,I,tp1,yes,no,yes,,
I246,I,tp3,yes,no,yes,,
I248,I,tp1,yes,no,yes,,
I248,I,tp3,yes,no,yes,,
I249,I,tp1,yes,no,yes,,
I249,I,tp3,yes,no,yes,,
I250,I,tp1,yes,no,yes,,
I250,I,tp3,yes,no,yes,,
I252,I,tp1,yes,no,yes,,
I252,I,tp3,yes,no,yes,,
II022,II,tp1,yes,no,no,,
II097,II,tp1,yes,no,no,,
II1001,II,tp1,yes,no,no,,
II1025,II,tp1,yes,no,no,yes,
II1044,II,tp1,yes,no,no,,
II105,II,tp1,yes,no,no,,
II1116,II,tp1,yes,no,no,,
II1134,II,tp1,yes,no,no,,
II1281,II,tp1,yes,no,no,,
II1311,II,tp1,yes,no,no,,
II1489,II,tp1,yes,no,no,,
II1557,II,tp1,yes,no,no,,
II176,II,tp1,yes,no,no,,
II184,II,tp1,yes,no,no,,
II1913,II,tp1,yes,no,no,,
II1929,II,tp1,yes,no,no,,
II1995,II,tp1,yes,no,no,,
II2012,II,tp1,yes,no,no,,
II2157,II,tp1,yes,no,no,,
II2314,II,tp1,yes,no,no,,
II2374,II,tp1,yes,no,no,,
II240,II,tp1,yes,no,no,,
II2448,II,tp1,yes,no,no,,
II2499,II,tp1,yes,no,no,,
II2553,II,tp1,yes,no,no,,
II2558,II,tp1,yes,no,no,,
II296,II,tp1,yes,no,no,,
II298,II,tp1,yes,no,no,,
II333,II,tp1,yes,no,no,,
II375,II,tp1,yes,no,no,,
II389,II,tp1,yes,no,no,yes,
II398,II,tp1,yes,no,no,,
II407,II,tp1,yes,no,no,,
II469,II,tp1,yes,no,no,,
II477,II,tp1,yes,no,no,,
II674,II,tp1,yes,no,no,,
II739,II,tp1,yes,no,no,,
II745,II,tp1,yes,no,no,yes,
II760,II,tp1,yes,no,no,,
II780,II,tp1,yes,no,no,,
II906,II,tp1,yes,no,no,,
II923,II,tp1,yes,no,no,,
II930,II,tp1,yes,no,no,,
II997,II,tp1,yes,no,no,,
III003,III,tp1,yes,no,no,,
III004,III,tp1,yes,no,no,,
III005,III,tp1,yes,no,no,,
III006,III,tp1,yes,no,no,,
III008,III,tp1,yes,no,no,,
III009,III,tp1,yes,no,no,,
III010,III,tp1,yes,no,no,,
III011,III,tp1,yes,no,no,,
III012,III,tp1,yes,no,no,,
III013,III,tp1,yes,no,no,,
III014,III,tp1,yes,no,no,,
III015,III,tp1,yes,no,no,,
III016,III,tp1,yes,no,no,,
III018,III,tp1,yes,no,no,,
III019,III,tp1,yes,no,no,,
III020,III,tp1,yes,no,no,,
III021,III,tp1,yes,no,no,,
III022,III,tp1,yes,no,no,,
III023,III,tp1,yes,no,no,,
III025,III,tp1,yes,no,no,,
III026,III,tp1,yes,no,no,,
III027,III,tp1,yes,no,no,yes,
III028,III,tp1,yes,no,no,,
III029,III,tp1,yes,no,no,,
III030,III,tp1,yes,no,no,,
III031,III,tp1,yes,no,no,,
III032,III,tp1,yes,no,no,,
III033,III,tp1,yes,no,no,,
III034,III,tp1,yes,no,no,,
III035,III,tp1,yes,no,no,,
III036,III,tp1,yes,no,no,,
III037,III,tp1,yes,no,no,yes,
III038,III,tp1,yes,no,no,yes,
III039,III,tp1,yes,no,no,,
III040,III,tp1,yes,no,no,,
IV001,IV,tp1,yes,no,no,,
IV002,IV,tp1,yes,no,no,,
IV003,IV,tp1,yes,no,no,yes,
IV004,IV,tp1,yes,no,no,,
IV005,IV,tp1,yes,no,no,,
IV006,IV,tp1,yes,no,no,,
IV007,IV,tp1,yes,no,no,,
IV008,IV,tp1,yes,no,no,,
IV009,IV,tp1,yes,no,no,,
IV010,IV,tp1,yes,no,no,,
IV011,IV,tp1,yes,no,no,,
IV012,IV,tp1,yes,no,no,,
