feature,PC1,PC2,PC3,PC4,PC5
aseg+DKT_ctx-rh-precuneus,0.10110831426513486,-0.10013755136372615,0.02893544021056453,-0.01414219881948813,-0.0023909659927618216
aseg+DKT_ctx-rh-rostralanteriorcingulate,0.07657452490272082,-0.046933579974676676,0.04470303158118679,0.05042471731112801,-0.024139051698950236
aseg+DKT_ctx-rh-rostralmiddlefrontal,0.08732323029035398,-0.06612972813276291,0.0586957510519757,0.061782908235769186,0.12360412099332327
aseg+DKT_ctx-rh-superiorfrontal,0.11619299694637389,-0.044772438101896635,0.02385529218865584,-0.035974604534860045,0.039597352617820034
aseg+DKT_ctx-rh-superiorparietal,0.08190102696479197,-0.09195292682246145,0.09126609379226391,-0.0277073774982158,-0.027637195754539486
aseg+DKT_ctx-rh-superiortemporal,0.10320085246136862,-0.054613181936005624,0.01060664360677018,-0.015008653063641325,-0.09394152780671598
aseg+DKT_ctx-rh-supramarginal,0.10052137181548249,-0.06845817689167882,0.005073649086752381,-0.05191495073011378,-0.12975489819971966
aseg+DKT_ctx-rh-transversetemporal,0.06766486971577675,-0.08079159677694946,-0.008415679936220838,-0.012486600720676673,-0.13705424020522503
cerebellum.CerebNet_Cbm_Left_CrusI,0.07398661793935991,0.13330829575428838,-0.0804695819554166,-0.08778913697921639,-0.01680285542728557
cerebellum.CerebNet_Cbm_Left_CrusII,0.03560746308297389,0.1707394318471951,-0.03848936467616818,-0.1429236395882642,0.006077151189625799
cerebellum.CerebNet_Cbm_Left_IX,0.04489931513858826,0.19184557626625742,-0.012718142424311758,-0.0583397608126474,0.024693839401541365
cerebellum.CerebNet_Cbm_Left_I_IV,0.08603040947827248,0.08263158613890927,-0.06873380277254174,0.05911997726546878,-0.008190748791790109
cerebellum.CerebNet_Cbm_Left_V,0.0964420478364068,0.08711163432484242,-0.010138239913281652,0.006527939068322944,-0.028119734837744482
cerebellum.CerebNet_Cbm_Left_VI,0.08865995016089051,0.13539680471768392,-0.03711956216301701,-0.04249679234700978,-0.04532232913436713
cerebellum.CerebNet_Cbm_Left_VIIIa,0.08507326043276026,0.1353916481947314,-0.014007544002276431,0.0663902590130785,0.022346023420898437
cerebellum.CerebNet_Cbm_Left_VIIIb,0.0836872431586536,0.09798639392983005,0.006745638034746705,0.05297192796634367,0.04101223191177232
cerebellum.CerebNet_Cbm_Left_VIIb,0.060806149903684194,0.16587151619398846,-0.031006472158484004,-0.010013970157111694,0.04416590219718618
