feature,PC1,PC2,PC3,PC4,PC5
aseg+DKT_Right-Pallidum,0.108711670637098,0.008079959572950554,-0.10112973599028087,0.018392689636990797,-0.01299398167412311
aseg+DKT_Right-Putamen,0.10591309609423606,-0.00664177286844451,-0.10606551303452687,0.002394453218566277,0.09964163156098246
aseg+DKT_Right-Thalamus,0.11450341316793684,-0.009685556406871713,-0.058830679393561465,-0.05801241753451714,0.012207992082546611
aseg+DKT_Right-VentralDC,0.1220359508561708,0.01090265004700523,-0.07107184254479533,0.061721663864691724,-0.04054807632928635
aseg+DKT_Right-choroid-plexus,0.0575677045948389,-0.016581581539150365,0.16270326745285232,0.05325696058085559,0.04111675799212964
aseg+DKT_WM-hypointensities,0.04321497679019258,-0.0993502084068822,0.1979770878616527,-0.12318303876789564,-0.003018676690328613
aseg+DKT_ctx-lh-caudalanteriorcingulate,0.09799668821878428,-0.06210243975566353,-0.052747801638469954,-0.09911889721370079,-0.1369225245575316
aseg+DKT_ctx-lh-caudalmiddlefrontal,0.07413834806919903,-0.0010297258654774122,0.05424808674766738,-0.08459360636399271,-0.07739483456286454
aseg+DKT_ctx-lh-cuneus,0.07005832275035151,-0.08392828320414682,-0.1344411771647672,0.017856849282284492,-0.04463376378333773
aseg+DKT_ctx-lh-entorhinal,0.07758187233469645,-0.05960492791414887,-0.016577909927671965,0.12654406550450054,-0.01065964986547949
aseg+DKT_ctx-lh-fusiform,0.08309397269499744,0.011024370686488288,-0.011794959817711823,-0.06897057987533431,0.10060443296495382
aseg+DKT_ctx-lh-inferiorparietal,0.08685132693637787,-0.08532032957452364,0.018908314812873302,-0.02103327147576488,0.16011702380115567
aseg+DKT_ctx-lh-inferiortemporal,0.10600936792895145,-0.04947944623592123,0.02544577304190529,0.02385398175034217,0.023191079058709683
aseg+DKT_ctx-lh-insula,0.11962610346494068,-0.02411327446402666,0.011892290057572722,0.02229797597664562,0.05298828604214312
aseg+DKT_ctx-lh-isthmuscingulate,0.08812492204991772,-0.06861422146199032,-0.06133314976626169,-0.011001594290671043,0.0446456824615275
aseg+DKT_ctx-lh-lateraloccipital,0.08414485136327901,-0.07162834586268019,-0.0680347838944747,-0.025927735288401272,-0.06406498603288294
aseg+DKT_ctx-lh-lateralorbitofrontal,0.111623921417047,-0.04493776569240401,0.04094141847522877,0.019269844163948335,0.02068627656819511
aseg+DKT_ctx-lh-lingual,0.06971785626448897,-0.06229993718372216,-0.13105920645801397,-0.0667383840144452,-0.12956948873125892
aseg+DKT_ctx-lh-medialorbitofrontal,0.10650546903918523,-0.07679034068313326,0.0017001287739559499,-0.021051303165633688,-0.010915597800610832
aseg+DKT_ctx-lh-middletemporal,0.10331837058434175,-0.04149409185954961,0.027455292010260462,0.008917807556062276,0.08555482853817582
aseg+DKT_ctx-lh-paracentral,0.09926838109024833,-0.07300492221827354,0.0010170486116465706,-0.09983626503187172,0.005249468735485831
aseg+DKT_ctx-lh-parahippocampal,0.05523108172847922,-0.04355494072862756,0.01144488218704885,0.041358431042749076,-0.1724012239378339
aseg+DKT_ctx-lh-parsopercularis,0.08761024770353869,-0.017068054510590312,0.007946416528567382,0.0313139547257171,0.06880171131148
aseg+DKT_ctx-lh-parsorbitalis,0.0678391244213973,0.026050332077198254,-0.03766198884326796,0.05510999345995188,0.12957034336988887
aseg+DKT_ctx-lh-parstriangularis,0.0840345808901763,0.02173413685850435,-0.07327569364129068,-0.05336845590303891,-0.04719089538264965
aseg+DKT_ctx-lh-pericalcarine,0.043430995019651246,-0.07203047943451868,-0.1360991273860785,-0.016030795535663347,-0.19150526737614929
aseg+DKT_ctx-lh-postcentral,0.09060153079204063,-0.0605922742938767,0.037944340390987104,-0.11883439403701178,-0.03450513801619473
aseg+DKT_ctx-lh-posteriorcingulate,0.06960572439273859,-0.04377326213977026,-0.09966698913549187,0.037899331640086055,-0.06564707431846267
aseg+DKT_ctx-lh-precentral,0.09729476647636062,-0.0843749264691493,-0.02216773360757715,-0.0635307787426042,0.0175580229356531
aseg+DKT_ctx-lh-precuneus,0.10050124453365109,-0.07652867909356686,-0.018652305669583247,-0.033148988508465364,0.10112415342575477
aseg+DKT_ctx-lh-rostralanteriorcingulate,0.09120446322347767,-0.05922500521678525,0.025297015191972715,-0.15085543113038966,-0.07991278114124377
aseg+DKT_ctx-lh-rostralmiddlefrontal,0.09288290657736387,-0.05495261644027766,-0.013706487921076895,-0.11845183431457736,-0.12587611610800187
aseg+DKT_ctx-lh-superiorfrontal,0.11323475398091457,-0.06238335713264761,0.016972462580462228,0.014687135234932829,-0.07370204747379851
aseg+DKT_ctx-lh-superiorparietal,0.07935725868328268,-0.11953521857004451,-0.02383958358400523,0.010814070421849436,0.08208953005190958
aseg+DKT_ctx-lh-superiortemporal,0.10757616064634047,0.0005783047292216366,0.04870989706321111,-0.02748139000332321,0.07260972811759275
aseg+DKT_ctx-lh-supramarginal,0.08807301652568936,-0.04535746077710343,-0.014568677406839826,-0.00023332826558874673,0.22821349614761038
aseg+DKT_ctx-lh-transversetemporal,0.08672390290216478,-0.015492762980081004,-0.03806646413841053,-0.11360661593414706,0.08774112352525916
aseg+DKT_ctx-rh-caudalanteriorcingulate,0.07546071911863336,-0.05173856578314831,-0.008633298611942302,-0.09205483629478775,-0.024593224562399253
aseg+DKT_ctx-rh-caudalmiddlefrontal,0.07771844343255191,-0.08587868464512352,0.034045991962159614,-0.04648016345617743,-0.12113665761915778
aseg+DKT_ctx-rh-cuneus,0.06613962483286452,-0.059692420576419304,-0.1346426784857391,-0.034760493341363614,-0.1442108906983244
aseg+DKT_ctx-rh-entorhinal,0.0759692045109558,-0.042892881710000434,0.015914313576417004,0.050075080975820724,0.1127085286559925
aseg+DKT_ctx-rh-fusiform,0.09378108817561552,-0.0181598767186563,0.015216726035380284,-0.10088890381383535,0.09962362419114275
aseg+DKT_ctx-rh-inferiorparietal,0.08689529472318781,-0.07034558000504067,-0.005111488997877118,0.04701290614554071,0.190209639319215
aseg+DKT_ctx-rh-inferiortemporal,0.09379560884838738,-0.051813968322720484,0.028544849411040088,-0.01464826873912115,0.052192787142306366
aseg+DKT_ctx-rh-insula,0.10690634816531289,-0.022031053377179834,0.006162769311724715,0.0398869318624849,0.09845558140790342
aseg+DKT_ctx-rh-isthmuscingulate,0.09076589840477244,-0.07667335677180134,-0.06899069471062312,0.026900937199623064,0.11216027319985543
aseg+DKT_ctx-rh-lateraloccipital,0.09287356070716025,-0.05631606717162304,-0.04882662889691888,-0.008520422184310792,-0.03132045348844048
aseg+DKT_ctx-rh-lateralorbitofrontal,0.11051388745312013,-0.06538524298940578,0.05528967909567969,0.016377936919469684,-0.037731504278706814
aseg+DKT_ctx-rh-lingual,0.0661125437762769,-0.07135551470799768,-0.1412928324868554,-0.04209421886201056,-0.13196881544626105
aseg+DKT_ctx-rh-medialorbitofrontal,0.0992083837112566,-0.07712132413005554,0.026360749055581202,-0.01852446088770965,0.020806245913325173
aseg+DKT_ctx-rh-middletemporal,0.10450206603604746,-0.052313340337655494,0.00565641818338625,0.0055058827989127035,0.06779901376094306
aseg+DKT_ctx-rh-paracentral,0.0960391558045145,0.006567569625418784,-0.025587798887824895,-0.09465454645440308,-0.06399191602135287
