feature,PC1,PC2,PC3,PC4,PC5
aseg+DKT_Right-Lateral-Ventricle,0.035066186736357086,0.07079820843366297,0.28559790115286643,0.02650134880364827,0.032108301457240945
aseg+DKT_Right-Pallidum,0.10172123621425652,-0.009207841297957636,-0.08261682970447051,-0.03368518707437317,0.07437321101192228
aseg+DKT_Right-Putamen,0.10411647472345399,-0.060196007681935136,-0.08312833522497197,-0.040580690021565266,-0.020232492773990637
aseg+DKT_Right-Thalamus,0.11087805098963051,-0.038292589308968825,-0.01082493333855549,-0.0315770068857854,0.06049403031049004
aseg+DKT_Right-VentralDC,0.11851883210645112,-0.014908184990765011,-0.056720460909125525,0.03690399964790279,0.08964017318898762
aseg+DKT_Right-choroid-plexus,0.054108926903146275,0.06194401398162335,0.16987853318676174,0.06256263731271702,-0.06520170363505613
aseg+DKT_WM-hypointensities,0.031737578699365526,0.0030609445015444222,0.2673363815423402,-0.022295812521706992,0.10599622893490741
aseg+DKT_ctx-lh-caudalanteriorcingulate,0.103514222631671,-0.086506123768536,0.0013066720098197624,-0.04003983421843269,0.07155668097007972
aseg+DKT_ctx-lh-caudalmiddlefrontal,0.08125229560041375,0.0012373802016736755,0.03403225558487113,-0.00629698945403842,0.017515315693070174
aseg+DKT_ctx-lh-cuneus,0.0674615876901566,-0.12179874142942414,-0.04053119352455201,-0.06781254043980707,0.09380113795791573
aseg+DKT_ctx-lh-entorhinal,0.07162887755942579,-0.05154444464748375,-0.007525032147661651,0.011384546625259812,0.11119090988843768
aseg+DKT_ctx-lh-fusiform,0.08897766562842756,-0.020561710421904068,-0.002135684956054457,-0.08893228720414571,-0.06954431355193841
aseg+DKT_ctx-lh-inferiorparietal,0.08746594835187035,-0.0718586706518212,0.05188602977304604,-0.0013311234132757262,-0.16846045758924147
aseg+DKT_ctx-lh-inferiortemporal,0.10131147549540157,-0.03455318344458683,0.05807275870568925,-0.01407179964786788,-0.06373337653607054
aseg+DKT_ctx-lh-insula,0.11841471111343847,-0.017613162646798287,0.019625485364705247,0.01573780219222735,-0.08206980038114431
aseg+DKT_ctx-lh-isthmuscingulate,0.08150275635715848,-0.10741957002167792,-0.03366620345420528,0.04539154390683141,0.01476313716940688
aseg+DKT_ctx-lh-lateraloccipital,0.09009407620867727,-0.08343107023658294,-0.05982290004854263,-0.007575273471984063,0.030779248109367774
aseg+DKT_ctx-lh-lateralorbitofrontal,0.11191351618551867,-0.02173570900662744,0.04865495619868742,0.004773255555082456,-0.06871913920447766
aseg+DKT_ctx-lh-lingual,0.07781568975301412,-0.09075412879750708,-0.04697807735115883,-0.07886800142698462,0.11666420816069162
aseg+DKT_ctx-lh-medialorbitofrontal,0.10510714743171995,-0.06866463313717837,0.034221482368691526,-0.020981480882487937,0.02461603422289892
aseg+DKT_ctx-lh-middletemporal,0.10561201412232264,-0.020067270871681225,0.045918658871834155,0.013769652177959904,-0.07506876997093195
aseg+DKT_ctx-lh-paracentral,0.09201933375112044,-0.08836372804159227,0.060436054042866394,-0.06804613815961486,-0.06826222695590377
aseg+DKT_ctx-lh-parahippocampal,0.048692472696414156,-0.04128690239529674,0.009266961644125483,0.061621455256878566,0.1968958327358251
aseg+DKT_ctx-lh-parsopercularis,0.08193189661076385,-0.017734892692571065,-0.004496615188689214,-0.003187769094816692,-0.13736613037005227
aseg+DKT_ctx-lh-parsorbitalis,0.0736837883643065,-0.016395370480506086,-0.04143194857360302,-0.015292611824668624,-0.1355721605466812
aseg+DKT_ctx-lh-parstriangularis,0.07811090441532452,-0.02362860226346332,-0.08068729554174185,-0.03679506126381929,-0.030579109360614157
aseg+DKT_ctx-lh-pericalcarine,0.048488011855611766,-0.13925667164090716,-0.08268677004299627,-0.035945519541841574,0.14584807604922412
aseg+DKT_ctx-lh-postcentral,0.09074386916222267,-0.06978260066906578,0.0406806407994276,-0.027956803701390098,-0.04484792174257305
aseg+DKT_ctx-lh-posteriorcingulate,0.0672181798136355,-0.08796315451578081,-0.04673461228460209,0.041703086959804535,0.08998793652305698
aseg+DKT_ctx-lh-precentral,0.10053262021985333,-0.08927778261445768,0.017028084054354405,-0.020420528452987974,-0.048598833429768146
aseg+DKT_ctx-lh-precuneus,0.09957253432308441,-0.07380783406133141,0.05686914753984257,-0.03153196984140034,-0.04477806760845485
aseg+DKT_ctx-lh-rostralanteriorcingulate,0.09390917793797646,-0.05552732676306668,0.055722141159935096,-0.042556140237095995,0.021524774661005948
aseg+DKT_ctx-lh-rostralmiddlefrontal,0.10011774514347155,-0.04802056423635278,0.035403447227565714,-0.03757959605525061,0.0704453889383439
aseg+DKT_ctx-lh-superiorfrontal,0.11176554450061764,-0.05877192189442897,0.04061420611707254,0.004093066075447596,0.02228071875030003
aseg+DKT_ctx-lh-superiorparietal,0.07644761272443754,-0.10355277723325647,0.05673375099337483,-0.01114171295439588,-0.027116828219992253
aseg+DKT_ctx-lh-superiortemporal,0.10208600595587648,-0.022860891493399167,0.03027125202127414,-0.042241818243583376,-0.12068347060025729
aseg+DKT_ctx-lh-supramarginal,0.09502418527606328,-0.04494171169210874,0.03215014745913994,-0.06244699270230496,-0.19408177636252136
aseg+DKT_ctx-lh-transversetemporal,0.07124713677269211,-0.05464409771536258,-0.01978729292809818,-0.11849790838248497,-0.1105526960901498
aseg+DKT_ctx-rh-caudalanteriorcingulate,0.08239693022967995,-0.06263053649676563,0.05544096678271209,-0.03225238140343477,0.03268880321017656
aseg+DKT_ctx-rh-caudalmiddlefrontal,0.09266177448660155,-0.04657639261668328,0.04244176027719494,0.006495526245086559,0.02284231786674416
aseg+DKT_ctx-rh-cuneus,0.07114751337063198,-0.11125582531922248,-0.05867491160172918,-0.09594311835119332,0.19453820857025755
aseg+DKT_ctx-rh-entorhinal,0.07053954614143093,-0.04786981284381113,0.018928500269868698,0.010990153256878483,-0.10954870503450755
aseg+DKT_ctx-rh-fusiform,0.09803574165641005,-0.03306351691598561,0.004553303243000133,-0.061027448175024986,-0.1281171073057051
aseg+DKT_ctx-rh-inferiorparietal,0.08672159213867997,-0.0736576981644405,0.015775318124300892,0.02678073209290836,-0.11978582424032683
