ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,q_time_dose_fdr
hypothalamus.HypVINN_Ant-Commisure,95,190,-5.265126150091674,0.40495114741932714,8.35194359341604,0.373800177567598,-15.069489512074053,0.02572189887188295,0.3065192948899385
aseg+DKT_Left-Cerebellum-Cortex,95,190,-87.56218656409011,0.31108648350489665,228.07686927674885,0.6173172055138612,-202.83906570332547,0.028090332728087187,0.30899366000895906
aseg+DKT_ctx-rh-lateralorbitofrontal,95,190,-97.59584233426857,0.000264434267019872,46.38790623767302,0.4832500975147732,-56.56834338957983,0.04787234201933465,0.4334772688545091
aseg+DKT_ctx-lh-posteriorcingulate,95,190,-26.894242552203714,0.05854466238143817,-9.002669918083084,0.8413270190070711,-29.77052016573577,0.050065569566376616,0.4334772688545091
aseg+DKT_Left-Thalamus,95,190,-46.79410884362444,0.009834689124814146,25.548960702615954,0.6139027275255042,-37.89083126126683,0.050453483188876456,0.4334772688545091
aseg+DKT_Right-Cerebral-White-Matter,95,190,964.4148906833849,0.0003194244417503369,-164.48610168168955,0.7717474588334707,551.3427227663686,0.054195334325520025,0.4334772688545091
aseg+DKT_Left-Cerebral-White-Matter,95,190,789.4646302133435,0.005442562229945179,66.36262369467958,0.9047784987054516,578.8722925598821,0.056503229743892255,0.4334772688545091
cerebellum.CerebNet_Cbm_Right_IX,95,190,6.460260513002824,0.7996094779713745,27.400777034024,0.5934245704645147,-51.64059167528097,0.05759488187577393,0.4334772688545091
cerebellum.CerebNet_Cbm_Right_VIIIb,95,190,-22.496792075120172,0.5783792656640727,12.327690135274276,0.8114750991328471,-80.29437764395443,0.06344716976561726,0.45364726382416337
aseg+DKT_ctx-rh-fusiform,95,190,-51.55994617174793,0.08661554993495627,-170.39398442036926,0.04058298800617773,58.9539576045767,0.06674634545529838,0.45451082857655567
aseg+DKT_ctx-lh-cuneus,95,190,11.257222313027272,0.6857743816231969,14.094447302028469,0.8207381617112295,-53.7546550293093,0.07063214371591553,0.45910893415345094
