cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,250,13,-6.430423745502254,-2.594937426210455,3.8354863192917987,Hippocampus
1,252,15,-3.1525272402322875,-4.470251565353309,-1.3177243251210218,Hippocampus
1,12,12,1.0595721791338755,1.6879322682166766,0.6283600890828012,Thalamus
1,19,15,0.8997363791265464,0.004274267302003188,-0.8954621118245432,Thalamus
1,20,12,-0.554405179474512,1.0325301421653508,1.5869353216398627,Thalamus
1,30,13,5.481452383337486,3.3310590944598117,-2.1503932888776744,Thalamus
1,32,14,-6.59304171303099,4.282908232076776,10.875949945107767,Thalamus
1,41,11,0.8286023436202647,-1.4474950111658726,-2.2760973547861374,Thalamus
1,43,13,6.992678582253749,1.8671666056949259,-5.125511976558823,Thalamus
1,44,15,-2.794016736544647,-4.469725510664127,-1.6757087741194803,Thalamus
1,45,9,-1.8371403103902721,-1.1823473722399374,0.6547929381503348,Thalamus
1,47,13,1.5051341934614926,1.7191815171311906,0.21404732366969803,Thalamus
1,48,12,3.113508778798116,1.6595337620967792,-1.453975016701337,Thalamus
1,50,12,-0.8211757480905642,0.4208311993834218,1.2420069474739859,Thalamus
1,60,9,3.4830093425315702,0.6600787906061873,-2.822930551925383,Thalamus
1,66,10,2.1049118418486494,2.1466180720951953,0.04170623024654585,Thalamus
1,68,14,2.794197692176945,3.007048132688783,0.21285044051183766,Thalamus
1,69,14,-5.8024989149232,0.003650146531586557,5.806149061454787,Thalamus
1,80,13,0.5817646475813358,3.4526639296964605,2.8708992821151247,Thalamus
1,83,14,1.7624512476040022,1.330658219813063,-0.4317930277909392,Thalamus
1,84,15,-0.317528223751065,5.460493390729837,5.7780216144809025,Thalamus
1,85,11,0.8597848432485675,-0.42597627903512325,-1.2857611222836907,Thalamus
1,89,14,-0.24330764671824637,-1.4334956340600018,-1.1901879873417553,Thalamus
1,91,14,-3.341680850494572,3.245238795340469,6.5869196458350405,Thalamus
1,95,12,0.7939103267430111,3.5656801459384666,2.7717698191954554,Thalamus
1,96,14,0.47589092462734695,-5.163817074983011,-5.639707999610358,Thalamus
1,97,14,2.847187432084926,3.685182347434451,0.8379949153495252,Thalamus
1,100,14,2.3748473427048635,-1.5182509741039654,-3.893098316808829,Thalamus
1,103,12,9.042975467956461,7.366265218982566,-1.6767102489738956,Thalamus
1,106,15,-2.7685028292980864,-1.4363842520836605,1.332118577214426,Thalamus
1,107,14,-0.8804366883413876,-5.354208258745183,-4.4737715704037955,Thalamus
1,109,13,-2.0824926764630045,-3.6902940617507536,-1.607801385287749,Thalamus
1,115,15,-0.7034173023419674,-1.2115349250698328,-0.5081176227278654,Thalamus
1,117,15,0.5212977809378346,-1.0408915306339717,-1.5621893115718062,Thalamus
1,121,15,-1.301474586978968,-0.80020635814379,0.5012682288351779,Thalamus
1,122,14,2.815501401247131,4.5705019218055325,1.7550005205584016,Thalamus
1,124,15,2.1284396884880623,-3.1432714379152107,-5.271711126403273,Thalamus
1,125,13,-3.1778412285644304,-2.1429203375870354,1.034920890977395,Thalamus
1,126,13,1.6621301673548545,1.8912694109329022,0.2291392435780477,Thalamus
1,127,14,2.5150702925810844,2.3407351898898545,-0.17433510269122987,Thalamus
1,128,14,-1.7018213447807584,1.0272133244446557,2.729034669225414,Thalamus
1,129,15,-2.3802861459937996,1.1169850167793234,3.497271162773123,Thalamus
1,130,15,8.191214419227228,9.313892591452987,1.1226781722257595,Thalamus
1,137,10,-1.658045436092598,-0.8354519668632329,0.8225934692293652,Thalamus
1,138,14,0.08643038998077586,-3.8411741325667488,-3.9276045225475245,Thalamus
1,139,15,4.903235674139107,-0.7243605252297461,-5.627596199368853,Thalamus
1,148,13,-1.6473433037426055,0.7704156418087494,2.417758945551355,Thalamus
1,150,15,-1.6323368208784477,-2.0952283525818673,-0.4628915317034197,Thalamus
1,155,13,-0.13230756688379827,-3.5044936824759674,-3.3721861155921693,Thalamus
1,157,14,2.449446813843699,1.6367927013413173,-0.8126541125023818,Thalamus
1,159,15,-0.2990642635083677,1.7343200567431933,2.033384320251561,Thalamus
1,160,15,-1.4935102190317946,-1.6364631625372206,-0.14295294350542598,Thalamus
1,163,15,-1.603102129759028,1.5816426675950468,3.1847447973540746,Thalamus
1,164,15,-1.98750945477826,-3.7685685032954432,-1.7810590485171833,Thalamus
1,167,15,-2.6315656137397707,0.15571574933301446,2.7872813630727853,Thalamus
1,175,15,-7.1132360825281635,2.758780762947516,9.87201684547568,Thalamus
1,176,15,-1.8495374283964567,-2.2336007207756188,-0.38406329237916204,Thalamus
1,178,13,-1.5270826652640512,1.9135958778931796,3.440678543157231,Thalamus
1,179,15,1.6072358108671145,4.488304415777608,2.8810686049104937,Thalamus
1,182,15,-3.31909829340108,2.449486465526501,5.768584758927581,Thalamus
1,183,13,-4.072433311537201,-4.684842987045262,-0.6124096755080615,Thalamus
1,184,15,-2.907160219188707,-5.838629080807397,-2.9314688616186904,Thalamus
1,186,14,-0.744016033559112,-2.07072211179273,-1.326706078233618,Thalamus
1,187,14,-1.3439437772609624,-0.9115303243514052,0.43241345290955713,Thalamus
1,188,14,-3.3649126122093134,-2.7489885432804653,0.6159240689288481,Thalamus
1,189,15,-2.3084607251591582,3.329368641670386,5.6378293668295445,Thalamus
1,190,14,-0.16629601128983168,-2.8132714358607447,-2.646975424570913,Thalamus
1,191,15,2.6163948780412065,3.2195248043138625,0.6031299262726559,Thalamus
